id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,string_field_10
17366,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Arrow Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack,
17365,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Arrow Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack,
17379,Men,Accessories,Accessories,Accessory Gift Set,Blue,Fall,2011,Formal,Arrow Men Formal Blue Tie+Cufflink+Pocket square - Combo Pack,
17367,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Fall,2011,Formal,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,
17368,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Fall,2011,Formal,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,
17372,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Fall,2011,Formal,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,
17363,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Fall,2011,Formal,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,
17362,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Fall,2011,Formal,Arrow Men Formal Maroon Tie+Cufflink+Pocket square - Combo Pack,
17369,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,
17359,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,
17361,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,
17375,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,
17374,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,
17373,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,
17378,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,
17370,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,
17377,Men,Accessories,Accessories,Accessory Gift Set,Purple,Fall,2011,Formal,Arrow Men Formal Purple Tie+Cufflink+Pocket square - Combo Pack,
17360,Men,Accessories,Accessories,Accessory Gift Set,Red,Fall,2011,Formal,Arrow Men Formal Red Tie+Cufflink+Pocket square - Combo Pack,
17364,Men,Accessories,Accessories,Accessory Gift Set,Red,Fall,2011,Formal,Arrow Men Formal Red Tie+Cufflink+Pocket square - Combo Pack,
17376,Men,Accessories,Accessories,Accessory Gift Set,Red,Fall,2011,Formal,Arrow Men Formal Red Tie+Cufflink+Pocket square - Combo Pack,
17371,Men,Accessories,Accessories,Accessory Gift Set,Red,Fall,2011,Formal,Arrow Men Formal Red Tie+Cufflink+Pocket square - Combo Pack,
31187,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2015,Casual,Cabarelli Men Accessory Gift Set,
31186,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2015,Casual,Cabarelli Men Accessory Gift Set,
31192,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2015,Casual,Cabarelli Men Accessory Gift Set,
31193,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2015,Casual,Cabarelli Men Accessory Gift Set,
31183,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2012,Casual,Cabarelli Men Accessory Gift Set,
31184,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2015,Casual,Cabarelli Men Accessory Gift Set,
31185,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2015,Casual,Cabarelli Men Accessory Gift Set,
31200,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2012,Casual,Cabarelli Men Accessory Gift Set,
31191,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2015,Casual,Cabarelli Men Accessory Gift Set,
31190,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2012,Casual,Cabarelli Men Accessory Gift Set,
31182,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2012,Casual,Cabarelli Men Black Accessory Gift Set,
31201,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2012,Casual,Cabarelli Men Black Accessory Gift Set,
31204,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2012,Casual,Cabarelli Men Brown Accessory Gift Set,
31202,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2012,Casual,Cabarelli Men Brown Accessory Gift Set,
31206,Men,Accessories,Accessories,Accessory Gift Set,Brown,Summer,2012,Casual,Cabarelli Men Brown Accessory Gift Set,
58922,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2012,Casual,Hakashi Men Black Combo pack Tie+Cufflink+Pocket square,
58920,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Summer,2012,Casual,Hakashi Men Combo pack Tie+Cufflink+Pocket square,
58921,Men,Accessories,Accessories,Accessory Gift Set,Multi,Summer,2012,Casual,Hakashi Men Combo pack Tie+Cufflink+Pocket square,
58923,Men,Accessories,Accessories,Accessory Gift Set,Black,Summer,2012,Casual,Hakashi Men Combo pack Tie+Cufflink+Pocket square,
58924,Men,Accessories,Accessories,Accessory Gift Set,Red,Summer,2012,Casual,Hakashi Men Combo pack Tie+Cufflink+Pocket square,
25076,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015,Formal,Lino Perros Men Formal Black Accessory Gift Set,
25082,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015,Formal,Lino Perros Men Formal Black Accessory Gift Set,
25078,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015,Formal,Lino Perros Men Formal Black Accessory Gift Set,
25067,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015,Formal,Lino Perros Men Formal Black Accessory Gift Set,
25081,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015,Formal,Lino Perros Men Formal Black Accessory Gift Set,
25080,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015,Formal,Lino Perros Men Formal Black Accessory Gift Set,
25074,Men,Accessories,Accessories,Accessory Gift Set,Black,Winter,2015,Formal,Lino Perros Men Formal Black Accessory Gift Set,
25047,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015,Formal,Lino Perros Men Formal Blue Accessory Gift Set,
25070,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015,Formal,Lino Perros Men Formal Blue Accessory Gift Set,
25069,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015,Formal,Lino Perros Men Formal Blue Accessory Gift Set,
25056,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015,Formal,Lino Perros Men Formal Blue Accessory Gift Set,
25058,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015,Formal,Lino Perros Men Formal Blue Accessory Gift Set,
25045,Men,Accessories,Accessories,Accessory Gift Set,Blue,Winter,2015,Formal,Lino Perros Men Formal Blue Red Accessory Gift Set,
25055,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015,Formal,Lino Perros Men Formal Brown Accessory Gift Set,
25064,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015,Formal,Lino Perros Men Formal Brown Accessory Gift Set,
25062,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015,Formal,Lino Perros Men Formal Brown Accessory Gift Set,
25065,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015,Formal,Lino Perros Men Formal Brown Accessory Gift Set,
25053,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015,Formal,Lino Perros Men Formal Brown Accessory Gift Set,
25071,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015,Formal,Lino Perros Men Formal Brown Accessory Gift Set,
25050,Men,Accessories,Accessories,Accessory Gift Set,Brown,Winter,2015,Formal,Lino Perros Men Formal Brown Accessory Gift Set,
25049,Men,Accessories,Accessories,Accessory Gift Set,Grey,Winter,2015,Formal,Lino Perros Men Formal Grey Accessory Gift Set,
25084,Men,Accessories,Accessories,Accessory Gift Set,Grey,Winter,2015,Formal,Lino Perros Men Formal Grey Accessory Gift Set,
25079,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Winter,2015,Formal,Lino Perros Men Formal Maroon Accessory Gift Set,
25068,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Winter,2015,Formal,Lino Perros Men Formal Maroon Accessory Gift Set,
25075,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Winter,2015,Formal,Lino Perros Men Formal Maroon Accessory Gift Set,
25073,Men,Accessories,Accessories,Accessory Gift Set,Maroon,Winter,2015,Formal,Lino Perros Men Formal Maroon Accessory Gift Set,
25077,Men,Accessories,Accessories,Accessory Gift Set,Navy Blue,Winter,2015,Formal,Lino Perros Men Formal Navy Blue Accessory Gift Set,
25063,Men,Accessories,Accessories,Accessory Gift Set,Navy Blue,Winter,2015,Formal,Lino Perros Men Formal Navy Blue/Red Accessory Gift Set,
25072,Men,Accessories,Accessories,Accessory Gift Set,Pink,Winter,2015,Formal,Lino Perros Men Formal Pink Accessory Gift Set,
25054,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015,Formal,Lino Perros Men Formal Purple Accessory Gift Set,
25048,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015,Formal,Lino Perros Men Formal Purple Accessory Gift Set,
25051,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015,Formal,Lino Perros Men Formal Purple Accessory Gift Set,
25060,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015,Formal,Lino Perros Men Formal Purple Accessory Gift Set,
25059,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015,Formal,Lino Perros Men Formal Purple Accessory Gift Set,
25061,Men,Accessories,Accessories,Accessory Gift Set,Purple,Winter,2015,Formal,Lino Perros Men Formal Purple Accessory Gift Set,
25083,Men,Accessories,Accessories,Accessory Gift Set,Red,Winter,2015,Formal,Lino Perros Men Formal Red Accessory Gift Set,
25066,Men,Accessories,Accessories,Accessory Gift Set,Turquoise Blue,Winter,2015,Formal,Lino Perros Men Formal Turquoise Blue Accessory Gift Set,
