created_at,customer_id,booking_id,session_id,payment_method,payment_status,promo_amount,promo_code,shipment_fee,shipment_date_limit,shipment_location_lat,shipment_location_long,total_amount,product_id,quantity,item_price
2021-05-30 10:09:55.844494 UTC,3,b2de279b-c748-4b36-9e1a-100b3c9f5b1b,7904adfa-bc70-4ef4-816b-34d4c56a810c,Credit Card,Success,0,,15000,2021-06-01 11:38:19.816324 UTC,-6.1841847499209432,106.92027841971596,448573,40091,1,270191
2020-08-23 07:30:48.844494 UTC,3,3b6e712b-80d0-4783-8b60-9acb97ace77e,5b668b6f-a69a-4198-9ff2-62a3d41693ad,Debit Card,Success,0,,0,2020-08-28 14:31:59.177358 UTC,-6.15185768744877,106.94583889541369,216272,7958,1,216272
2021-09-29 16:39:41.656991 UTC,8,8c8a0b2a-a661-47d0-8b2f-c2a889ed3e8d,72b22c61-1c66-4b57-bcf3-8ee5140ca8db,Credit Card,Success,0,,10000,2021-10-04 06:08:24.696360 UTC,-7.2410942310799831,109.0904171877536,181676,37763,1,171676
2021-09-02 02:16:27.421034 UTC,9,4d05a4c9-b0cf-48d9-9a32-7f823d65444e,e4aa48ac-b265-4a1c-9d18-a8697443b3f3,Credit Card,Success,0,,10000,2021-09-07 02:12:26.892877 UTC,-7.8782926128342172,110.64159761300724,257065,25901,1,247065
2020-07-01 14:28:11.010289 UTC,18,b6804c93-d90e-477a-85ce-7297785a9076,ae4783f6-3ec6-461c-9a37-ecce7c688324,Debit Card,Failed,0,,10000,2020-07-05 16:27:32.297210 UTC,-6.1614222708550352,106.90384322410688,306673,10839,1,296673
2019-09-04 10:16:55.010289 UTC,18,3e81a0d2-7085-4050-9eb7-ba2981ef8ec7,2bdbe36f-dcb7-43a7-84c1-52206933a8ae,Debit Card,Failed,0,,10000,2019-09-06 11:46:06.364993 UTC,-6.1495308797456731,106.723659079992,98318,36270,1,88318
2022-07-02 20:35:34.010289 UTC,18,9c31ea4b-b012-4c8b-86d5-c6ac17d39429,805ba729-58e8-4ae1-ba00-d8fb2427d5ef,Debit Card,Failed,0,,10000,2022-07-06 06:20:30.274814 UTC,0.6829560547009681,114.75467580842528,176789,42523,1,166789
2022-07-16 11:22:47.615854 UTC,20,55db9bc6-49ec-4ec5-9a15-464091fd5d39,3808ee5d-bca9-47d5-bddc-c481e09b796e,OVO,Success,0,,10000,2022-07-17 14:02:47.672188 UTC,-5.1161508692417659,119.7326477684494,705156,48450,1,260548
2021-11-08 07:00:42.615854 UTC,20,eefd00ad-4776-40f3-b142-02fc74133e2b,5e304ae6-e7d3-4161-8c84-2e41b521911c,OVO,Success,0,,10000,2021-11-09 23:34:35.464009 UTC,-7.3853002183305723,111.04760546379345,1246395,20599,1,333755
2022-07-06 10:49:48.615854 UTC,20,7921854f-64c3-47cd-8db4-2b6416098d7e,0a13fa23-dfae-46bd-8ddc-7b6cef177220,OVO,Success,0,,0,2022-07-09 06:23:53.774446 UTC,-6.1602410358832111,106.81401176248292,3568684,21269,1,194797
