cohort_month,month_diff,total_customer,retention_rate
2022-01,0,1057,100.0
2022-01,1,411,38.88
2022-01,2,542,51.28
2022-01,3,607,57.43
2022-01,4,535,50.61
2022-01,5,525,49.67
2022-01,6,336,31.79
2022-02,0,918,100.0
2022-02,1,423,46.08
2022-02,2,490,53.38
2022-02,3,549,59.8
2022-02,4,527,57.41
2022-02,5,342,37.25
2022-03,0,873,100.0
2022-03,1,464,53.15
2022-03,2,574,65.75
2022-03,3,496,56.82
2022-03,4,393,45.02
2022-04,0,872,100.0
2022-04,1,478,54.82
2022-04,2,597,68.46
2022-04,3,399,45.76
2022-05,0,408,100.0
2022-05,1,209,51.23
2022-05,2,142,34.8
2022-06,0,762,100.0
2022-06,1,549,72.05
2022-07,0,998,100.0
